-11,0,30371,1,768,0.9987,3795,6140,13990,0.695
0,15,6618,1,3,0.75,6618,1,3,0.75
15,30,322,1,27,0.9643,7547,109,179,0.6212
30,45,3476,1,184,0.9946,5079,122,1750,0.9344
45,60,5672,1,304,0.9967,5021,2,485,0.9949
60,75,6259,1,81,0.9878,4883,2749,2806,0.5051
75,90,4622,1,127,0.9922,3929,14,780,0.9824
90,105,720,6,220,0.9692,2840,562,606,0.5186
105,120,4002,4,276,0.9858,5625,1261,1065,0.4579
120,135,4612,1,141,0.993,7272,4993,3160,0.3876
135,150,2622,1,123,0.992,3629,6202,1720,0.2172
150,165,8621,1,100,0.9902,3795,6140,13990,0.695
165,180,2201,1,165,0.994,2492,8146,2338,0.223
180,195,2450,1,127,0.9922,4716,189,3086,0.9421
195,210,3741,3,574,0.9944,3443,4433,13741,0.7561
210,225,1326,1,172,0.9942,4533,6210,5175,0.4546
225,240,3840,1,478,0.9979,5049,6627,9838,0.5975
240,255,5390,1,353,0.9972,488,3995,12611,0.7594
255,270,448,1,250,0.996,6817,663,3268,0.8313
270,285,30371,1,768,0.9987,28612,260,1415,0.8444
285,300,9844,1,419,0.9976,24433,29,3375,0.9914
300,315,25528,1,365,0.9973,10025,2964,8106,0.7322
315,330,9869,1,113,0.9912,22334,55,791,0.9345
330,345,30623,1,222,0.9955,10289,102,1213,0.9223
345,360,9866,1,712,0.9986,31063,422,3391,0.8891
360,375,28652,1,29,0.9673,22989,947,1387,0.594
375,390,17165,3,84,0.9643,28230,191,1492,0.8861
390,405,16463,3,303,0.9897,28679,83,527,0.8638
405,420,27629,6,748,0.9908,27629,6,748,0.9908
420,435,41400,1,90,0.9891,9927,147,952,0.8658
435,450,14991,1,309,0.9968,14991,1,309,0.9968
450,465,11867,1,322,0.9969,10034,489,543,0.5261
465,480,62375,1,176,0.9944,21277,908,250,0.216
480,495,46105,1,22,0.9578,18850,25,67,0.7287
495,510,63281,1,5,0.8453,27317,325,10,0.03131
510,525,52177,1,3,0.7639,75109,18,35,0.6559
525,540,29436,1,40,0.9661,17167,37,43,0.5335
540,555,46285,1,36,0.9495,46285,1,36,0.9495
555,570,46098,1,18,0.9282,46098,1,18,0.9282
570,585,10210,12,127,0.9126,10210,12,127,0.9126
585,600,62419,1,3,0.7984,44890,9,8,0.475
600,615,63574,1,5,0.8333,46140,42,195,0.8222
615,630,46243,1,5,0.836,66370,3,6,0.6667
630,645,67178,1,21,0.9135,67178,1,21,0.9135
645,660,63251,2,17,0.8947,75945,3,17,0.8288
660,675,66384,1,12,0.9231,75027,4,40,0.9048
675,690,46136,1,5,0.8512,46136,1,5,0.8512
690,705,77127,1,1,0.6327,77127,1,1,0.6327
705,720,76122,1,2,0.6667,76122,1,2,0.6667
720,735,62464,1,2,0.7148,62464,1,2,0.7148
735,750,67190,1,2,0.6473,67190,1,2,0.6473
750,765,67946,1,2,0.6667,67946,1,2,0.6667
765,780,80320,1,1,0.625,67978,2,2,0.5
780,795,67553,1,2,0.6667,67553,1,2,0.6667
795,810,67613,1,1,0.5281,80107,4,2,0.3333
810,825,67967,1,3,0.7518,67967,1,3,0.7518
825,840,79831,1,2,0.6667,79831,1,2,0.6667
840,841,65409,1,2,0.6667,65409,1,2,0.6667
